FlightID,DepartureAirport,Path,Arrival Airport,Weather,Visibility (V),Turbulence Intensity (knots)  (TI),Wind Shear (m/s)  (WS),Air Traffic Density  (ATD),Precipitation(P),Pilot Experience(PE),Weather Forecast  Accuracy (%)  (FA),Maintenance History & Health Metrics  (MH),Safety Score
FL149,MAA,a,PNQ,Fog,4,7,3,0.03,0,9,60,1,68
FL150,MAA,a,PNQ,Clear Skies,11,24,23,0.19,0,26,72,4,70
FL151,DEL,a,HYD,Smoke,5,8,1,0.02,0,4,86,4,83
FL152,BOM,c,CCU,Fog,7,11,5,0.09,0,28,72,3,80
FL153,AMD,c,COK,Smoke,3,3,1,0.05,0,10,91,3,83
FL154,JAI,c,BLR,Rain,6,29,18,0.02,2,27,98,4,75
FL155,AMD,a,COK,Smoke,2,7,0,0.03,0,27,98,3,88
FL156,AMD,b,COK,Fog,3,29,18,0.1,0,22,99,4,71
FL157,BOM,a,CCU,Rain,6,12,7,0.07,5,27,66,4,74
FL158,JAI,b,BLR,Rain,8,4,2,0.09,5,29,80,4,83
FL159,BLR,a,IXC,Fog,5,11,3,0.12,0,20,79,3,78
FL160,BOM,a,CCU,Smoke,2,5,6,0.05,0,29,57,4,77
FL161,BOM,b,CCU,Smoke,3,6,7,0.1,0,2,63,4,68
FL162,MAA,c,PNQ,Fog,3,7,0,0.08,0,9,94,4,83
FL163,DEL,b,HYD,Rain,4,8,4,0.15,5,20,53,4,70
FL164,MAA,b,PNQ,Smoke,6,3,2,0.12,0,14,67,4,80
FL165,DEL,a,HYD,Smoke,3,2,2,0.17,0,5,63,3,69
FL166,JAI,b,BLR,Smoke,3,6,4,0.22,0,3,94,4,69
FL167,BLR,b,IXC,Rain,5,9,6,0.1,2,20,62,4,74
FL168,BLR,c,IXC,Fog,7,8,2,0.03,0,10,71,4,85
FL169,BOM,b,CCU,Rain,9,10,3,0.12,2,13,86,4,80
FL170,JAI,c,BLR,Fog,8,5,6,0.2,0,20,83,4,83
FL171,DEL,c,HYD,Fog,7,3,0,0.15,0,26,59,3,82
FL172,AMD,c,COK,Clear Skies,8,7,3,0.1,0,9,94,4,83
FL173,AMD,a,COK,Fog,8,10,4,0.05,0,24,76,4,89
FL174,BLR,c,IXC,Smoke,2,2,1,0.11,0,2,97,4,77
FL175,AMD,c,COK,Fog,4,5,0,0.14,0,19,88,4,84
FL176,MAA,a,PNQ,Smoke,2,1,1,0.19,0,19,82,3,81
FL177,DEL,b,HYD,Fog,2,17,13,0.11,0,28,87,4,74
FL178,AMD,c,COK,Rain,9,4,1,0.21,4,13,98,4,79
FL179,MAA,c,PNQ,Clear Skies,12,5,3,0.23,0,11,80,4,82
FL180,MAA,a,PNQ,Rain,4,9,7,0.01,2,20,94,4,80
FL181,BOM,c,CCU,Rain,8,8,6,0.21,7,28,80,4,69
FL182,BLR,b,IXC,Fog,7,5,4,0.06,0,6,86,4,80
FL183,DEL,c,HYD,Rain,7,5,7,0.03,2,22,85,3,78
FL184,AMD,a,COK,Clear Skies,12,15,9,0.07,0,24,70,4,86
FL185,MAA,b,PNQ,Smoke,3,25,17,0.04,0,25,91,3,72
FL186,JAI,b,BLR,Rain,4,0,2,0.14,3,13,83,3,71
FL187,BLR,c,IXC,Fog,6,11,3,0.09,0,14,80,4,80
FL188,AMD,b,COK,Clear Skies,9,6,4,0.02,0,11,61,3,83
FL189,MAA,b,PNQ,Smoke,5,4,2,0.22,0,30,68,4,79
FL190,BOM,a,CCU,Rain,8,7,3,0.16,5,17,83,3,77
FL191,DEL,c,HYD,Rain,4,9,2,0.13,4,14,62,3,66
FL192,BLR,b,IXC,Clear Skies,15,10,5,0.19,0,22,67,4,89
FL193,MAA,c,PNQ,Fog,8,9,4,0.1,0,22,70,4,86
FL194,JAI,a,BLR,Smoke,5,7,1,0.05,0,18,76,1,80
FL195,BOM,a,CCU,Fog,8,7,1,0.08,0,13,62,4,87
FL196,JAI,b,BLR,Smoke,4,20,11,0.17,0,6,78,4,68
FL197,BLR,c,IXC,Rain,9,10,3,0.07,5,24,77,4,83
FL198,AMD,b,COK,Smoke,4,4,2,0.17,0,7,96,4,77
FL199,DEL,c,HYD,Rain,6,4,2,0.15,1,2,66,4,71
FL200,MAA,c,PNQ,Rain,11,10,2,0.03,5,11,81,4,85
FL201,AMD,b,COK,Smoke,5,10,4,0.03,0,19,57,3,83
FL202,JAI,a,BLR,Fog,4,6,0,0.21,0,5,91,4,76
FL203,BOM,a,CCU,Rain,5,7,3,0.07,1,30,71,4,83
FL204,JAI,c,BLR,Fog,4,5,6,0.03,0,16,88,4,81
FL205,AMD,b,COK,Rain,8,7,5,0.16,2,13,85,3,77
FL206,MAA,c,PNQ,Clear Skies,16,5,4,0.02,0,25,96,3,93
FL207,MAA,c,PNQ,Rain,11,8,6,0.02,5,13,67,4,81
FL208,JAI,c,BLR,Fog,5,8,7,0.21,0,12,87,4,72
FL209,DEL,c,HYD,Fog,2,6,0,0.2,0,28,93,4,82
FL210,AMD,a,COK,Clear Skies,10,19,15,0.08,0,13,68,3,76
FL211,MAA,c,PNQ,Fog,4,12,3,0.07,0,23,78,4,80
FL212,BLR,a,IXC,Smoke,2,6,5,0.1,0,4,73,4,71
FL213,BOM,a,CCU,Fog,5,11,6,0.15,0,12,98,3,74
FL214,JAI,b,BLR,Clear Skies,14,5,7,0.08,0,7,90,4,84
FL215,JAI,c,BLR,Rain,10,9,2,0.1,5,15,66,4,83
FL216,BOM,a,CCU,Clear Skies,9,10,5,0.06,0,29,89,4,89
FL217,AMD,c,COK,Fog,5,8,7,0.09,0,22,72,4,82
FL218,DEL,a,HYD,Smoke,2,5,4,0.11,0,6,89,4,74
FL219,BOM,a,CCU,Smoke,2,1,2,0.1,0,30,75,4,80
FL220,BLR,b,IXC,Smoke,6,11,6,0.17,0,22,57,4,75
FL221,BLR,c,IXC,Rain,4,6,7,0.02,3,21,82,3,75
FL222,DEL,c,HYD,Fog,4,12,5,0.05,0,27,98,3,82
FL223,BLR,c,IXC,Smoke,3,9,2,0.24,0,25,78,4,76
FL224,BLR,b,IXC,Clear Skies,12,17,10,0.23,0,7,70,4,73
FL225,BOM,c,CCU,Smoke,3,7,7,0.13,0,3,97,3,67
FL226,AMD,b,COK,Fog,4,16,15,0.21,0,11,81,4,63
FL227,BLR,c,IXC,Smoke,5,5,1,0.03,0,18,85,4,92
FL228,MAA,a,PNQ,Smoke,8,11,6,0.08,0,22,92,4,85
FL229,BOM,b,CCU,Clear Skies,15,10,2,0.12,0,20,63,4,87
FL230,DEL,c,HYD,Clear Skies,15,15,9,0.17,0,16,88,4,83
FL231,BOM,c,CCU,Fog,8,10,6,0.16,0,17,64,3,77
FL232,AMD,b,COK,Clear Skies,16,9,7,0.02,0,9,97,4,86
FL233,BOM,a,CCU,Fog,8,2,1,0.12,0,17,91,4,92
FL234,BLR,a,IXC,Rain,10,7,5,0.07,1,10,71,4,86
FL235,MAA,c,PNQ,Smoke,4,10,0,0.07,0,23,83,1,77
FL236,MAA,a,PNQ,Smoke,2,7,5,0.06,0,19,73,4,83
FL237,AMD,b,COK,Rain,9,5,5,0.04,6,20,68,3,82
FL238,DEL,c,HYD,Fog,4,5,0,0.23,0,9,81,3,71
FL239,BLR,a,IXC,Rain,8,6,4,0.1,3,8,85,4,77
FL240,JAI,b,BLR,Smoke,8,7,7,0.25,0,24,69,4,78
FL241,DEL,a,HYD,Fog,5,10,3,0.23,0,27,94,3,78
FL242,AMD,a,COK,Fog,4,10,5,0.22,0,24,86,4,76
FL243,BOM,c,CCU,Smoke,2,10,0,0.13,0,11,56,1,70
FL244,AMD,b,COK,Clear Skies,9,12,4,0.03,0,6,87,4,83
FL245,AMD,a,COK,Clear Skies,18,9,6,0.08,0,8,81,4,82
FL246,AMD,a,COK,Fog,5,4,2,0.18,0,4,93,3,74
FL247,JAI,c,BLR,Clear Skies,18,8,7,0.18,0,11,81,3,80
FL248,BLR,a,IXC,Smoke,6,21,12,0.22,0,15,71,4,71
FL249,JAI,a,BLR,Smoke,7,11,7,0.18,0,18,87,4,77
FL250,MAA,c,PNQ,Clear Skies,12,10,1,0.12,0,22,90,4,95
FL251,MAA,a,PNQ,Fog,5,0,1,0.11,0,15,77,3,84
FL252,AMD,c,COK,Smoke,8,5,2,0.05,0,23,69,3,86
FL253,BOM,c,CCU,Fog,7,2,1,0.21,0,14,91,4,82
FL254,MAA,a,PNQ,Smoke,5,21,22,0.11,0,28,94,4,66
FL255,AMD,a,COK,Fog,6,4,0,0.02,0,16,60,4,89
FL256,JAI,c,BLR,Rain,10,5,6,0.02,1,8,71,3,78
FL257,BLR,a,IXC,Fog,2,16,23,0.13,0,20,95,3,62
FL258,BOM,c,CCU,Rain,4,10,2,0.02,2,3,81,4,73
FL259,AMD,c,COK,Clear Skies,17,7,0,0.12,0,13,60,3,85
FL260,BOM,c,CCU,Rain,11,8,5,0.12,7,14,78,3,74
FL261,JAI,a,BLR,Smoke,8,5,6,0.14,0,30,78,4,83
FL262,MAA,b,PNQ,Clear Skies,12,7,6,0.2,0,23,85,4,81
FL263,BOM,b,CCU,Fog,8,5,6,0.18,0,17,56,4,80
FL264,AMD,b,COK,Fog,4,5,4,0.12,0,7,53,4,70
FL265,JAI,a,BLR,Fog,8,23,24,0.17,0,23,55,4,62
FL266,DEL,a,HYD,Fog,5,17,23,0.11,0,5,54,4,56
FL267,MAA,c,PNQ,Clear Skies,14,12,3,0.19,0,26,79,1,78
FL268,MAA,c,PNQ,Rain,9,7,6,0.04,2,26,91,3,83
FL269,BOM,c,CCU,Rain,8,14,10,0.19,3,10,93,4,77
FL270,BOM,c,CCU,Clear Skies,10,7,3,0.13,0,17,59,4,87
FL271,DEL,c,HYD,Smoke,7,19,9,0.15,0,13,71,3,71
FL272,DEL,c,HYD,Rain,5,3,1,0.23,2,30,78,3,77
FL273,MAA,b,PNQ,Fog,6,12,3,0.21,0,24,91,3,76
FL274,MAA,a,PNQ,Clear Skies,12,7,0,0.04,0,10,56,4,92
FL275,DEL,b,HYD,Fog,8,10,0,0.24,0,5,71,4,80
FL276,MAA,b,PNQ,Clear Skies,16,4,1,0.14,0,8,69,4,87
FL277,JAI,b,BLR,Smoke,2,7,7,0.16,0,13,66,4,74
FL278,DEL,a,HYD,Fog,6,16,14,0.09,0,13,59,4,74
FL279,DEL,c,HYD,Smoke,4,11,6,0.04,0,16,95,4,81
FL280,BOM,c,CCU,Clear Skies,11,5,7,0.12,0,7,69,4,80
FL281,BLR,a,IXC,Smoke,2,5,5,0.1,0,8,77,4,74
FL282,AMD,c,COK,Fog,5,5,1,0.06,0,15,70,4,89
FL283,JAI,a,BLR,Smoke,3,22,23,0.14,0,8,86,4,55
FL284,BLR,c,IXC,Rain,5,6,1,0.17,6,11,71,4,78
FL285,JAI,c,BLR,Clear Skies,18,11,7,0.14,0,26,73,4,83
FL286,BOM,a,CCU,Clear Skies,15,22,9,0.22,0,10,82,3,71
FL287,JAI,c,BLR,Fog,5,13,15,0.17,0,10,63,3,65
FL288,BOM,b,CCU,Rain,10,3,0,0.12,1,28,81,4,90
FL289,BOM,c,CCU,Clear Skies,9,5,4,0.18,0,9,77,4,80
FL290,BOM,a,CCU,Smoke,6,6,7,0.22,0,21,96,4,77
FL291,MAA,b,PNQ,Clear Skies,11,20,25,0.18,0,6,94,4,68
FL292,JAI,a,BLR,Rain,5,11,3,0.03,3,30,91,4,85
FL293,DEL,c,HYD,Smoke,8,19,14,0.03,0,2,91,4,78
FL294,AMD,c,COK,Clear Skies,9,6,5,0.16,0,17,70,3,83
FL295,DEL,a,HYD,Clear Skies,12,6,3,0.1,0,3,64,3,77
FL296,BLR,c,IXC,Clear Skies,15,9,6,0.23,0,13,76,4,78
FL297,JAI,c,BLR,Clear Skies,14,7,7,0.06,0,10,54,4,80
FL298,DEL,a,HYD,Rain,7,6,6,0.02,2,30,71,4,81
FL299,AMD,a,COK,Smoke,4,10,4,0.17,0,14,98,3,77
FL300,BOM,c,CCU,Rain,4,9,0,0.17,6,7,62,3,67
FL301,AMD,a,COK,Smoke,8,0,2,0.04,0,22,71,4,91
FL302,JAI,a,BLR,Smoke,2,9,6,0.18,0,30,98,4,79
FL303,AMD,c,COK,Clear Skies,14,2,2,0.14,0,14,71,4,86
FL304,JAI,b,BLR,Smoke,8,6,2,0.16,0,10,72,4,83
FL305,AMD,a,COK,Rain,6,6,8,0.09,7,19,97,4,75
FL306,BOM,a,CCU,Clear Skies,15,7,2,0.25,0,19,96,4,87
FL307,DEL,a,HYD,Clear Skies,8,18,15,0.15,0,16,81,3,74
FL308,DEL,c,HYD,Rain,9,0,0,0.07,2,19,65,4,89
FL309,BLR,b,IXC,Smoke,5,3,1,0.03,0,25,85,3,89
FL310,JAI,a,BLR,Fog,7,0,2,0.17,0,23,74,4,83
FL311,MAA,a,PNQ,Fog,7,11,5,0.16,0,6,99,3,74
FL312,DEL,c,HYD,Clear Skies,15,20,17,0.03,0,29,93,4,86
FL313,BLR,c,IXC,Fog,5,0,2,0.1,0,10,74,3,77
FL314,AMD,a,COK,Rain,6,9,5,0.08,1,30,96,4,85
FL315,MAA,b,PNQ,Fog,4,7,3,0.11,0,28,64,3,75
FL316,BOM,a,CCU,Clear Skies,14,5,2,0.02,0,18,65,4,94
FL317,BOM,a,CCU,Smoke,2,5,5,0.05,0,16,70,4,85
FL318,DEL,b,HYD,Fog,5,8,6,0.15,0,23,92,4,82
FL319,BOM,a,CCU,Rain,10,6,4,0.24,3,12,75,4,79
FL320,BLR,b,IXC,Rain,5,7,3,0.07,1,14,93,3,79
FL321,DEL,a,HYD,Clear Skies,18,8,7,0.22,0,30,78,3,78
FL322,MAA,c,PNQ,Clear Skies,9,16,9,0.08,0,17,66,4,83
FL323,BOM,a,CCU,Smoke,2,8,3,0.09,0,22,63,4,80
FL324,JAI,c,BLR,Rain,4,28,16,0.01,7,21,70,3,61
FL325,BOM,a,CCU,Fog,2,8,7,0.13,0,21,94,4,79
FL326,DEL,b,HYD,Rain,6,27,22,0.08,2,8,89,1,48
FL327,JAI,b,BLR,Fog,8,3,1,0.24,0,22,85,4,86
FL328,AMD,a,COK,Clear Skies,18,10,4,0.03,0,30,96,3,93
FL329,AMD,a,COK,Fog,3,8,2,0.18,0,6,92,4,77
FL330,DEL,b,HYD,Smoke,2,4,1,0.17,0,5,92,4,80
FL331,BLR,a,IXC,Clear Skies,13,23,20,0.23,0,16,86,4,73
FL332,DEL,c,HYD,Smoke,2,24,17,0.05,0,21,92,4,73
FL333,BOM,b,CCU,Fog,6,9,8,0.19,0,23,58,4,77
FL334,JAI,a,BLR,Smoke,3,2,0,0.02,0,8,52,3,75
FL335,AMD,a,COK,Fog,7,9,6,0.17,0,21,85,4,80
FL336,MAA,a,PNQ,Rain,4,8,2,0.06,6,7,83,4,71
FL337,BLR,b,IXC,Smoke,7,6,1,0.15,0,30,67,3,84
FL338,MAA,b,PNQ,Smoke,8,8,2,0.21,0,2,57,3,68
FL339,BLR,b,IXC,Fog,3,16,17,0.18,0,15,99,4,73
FL340,DEL,c,HYD,Clear Skies,13,8,7,0.16,0,30,78,4,86
FL341,BLR,c,IXC,Clear Skies,13,9,3,0.09,0,24,89,1,83
FL342,MAA,c,PNQ,Fog,8,6,0,0.09,0,14,66,4,89
FL343,AMD,a,COK,Rain,8,11,6,0.21,2,17,75,4,73
FL344,AMD,b,COK,Smoke,3,20,14,0.09,0,12,69,4,74
FL345,JAI,c,BLR,Rain,4,6,0,0.01,3,14,84,3,80
FL346,MAA,a,PNQ,Fog,6,7,5,0.23,0,2,95,4,72
FL347,BLR,c,IXC,Fog,2,21,25,0.07,0,15,58,4,61
FL348,BOM,a,CCU,Rain,8,12,7,0.02,3,4,83,3,70
FL349,MAA,a,PNQ,Smoke,7,8,1,0.23,0,15,78,4,83
FL350,JAI,c,BLR,Clear Skies,17,8,6,0.11,0,30,73,4,86
FL351,MAA,b,PNQ,Clear Skies,9,5,5,0.05,0,12,77,3,85
FL352,MAA,c,PNQ,Rain,6,10,7,0.17,1,9,91,3,70
